#E+- DEUT --> E+- PI+ X					
#Z (deuterium)	MULT	stat +	stat -	sys +	sys -
0.131	3.8988	0.0307	-0.0307	0.1229	-0.1229
0.179	2.7341	0.0095	-0.0095	0.0816	-0.0816
0.228	1.978	0.0063	-0.0063	0.0542	-0.0542
0.278	1.4614	0.0051	-0.0051	0.0359	-0.0359
0.349	0.9558	0.0025	-0.0025	0.0187	-0.0187
0.449	0.55	0.0019	-0.0019	0.0126	-0.0126
0.548	0.3406	0.0016	-0.0016	0.0117	-0.0117
0.648	0.2274	0.0014	-0.0014	0.0069	-0.0069
0.747	0.1325	0.0012	-0.0012	0.004	-0.004
0.878	0.0454	0.0002	-0.0002	0.0015	-0.0015

