# ievent	Q2[GeV^2]	W2[GeV^2]	x	y
1 5.74033 7.40438 0.46805 0.221221
2 3.86677 8.99068 0.322847 0.216528
3 8.90516 18.362 0.337485 0.476896
4 6.9052 12.6392 0.369973 0.337157
5 15.3416 31.7373 0.33208 0.835012
6 4.65286 11.7206 0.300319 0.280182
7 11.4685 22.1019 0.350825 0.590686
8 4.6048 8.49338 0.376892 0.220695
9 10.7572 10.889 0.518025 0.374256
10 5.25689 8.39546 0.411595 0.230579
11 8.69311 10.3099 0.479683 0.326817
12 7.62662 12.3863 0.398619 0.345466
13 3.75808 10.0584 0.290511 0.23398
14 6.40732 9.8484 0.416726 0.277551
15 7.9325 12.3997 0.407801 0.35118
16 5.40946 12.3247 0.320964 0.304691
17 7.53223 12.5078 0.393129 0.345984
18 9.98027 10.8918 0.499219 0.360411
19 16.1022 28.825 0.36557 0.795704
20 11.1954 10.6246 0.53465 0.37729
21 5.40782 12.3122 0.321136 0.304434
22 4.48064 10.5526 0.316588 0.255883
23 8.28555 7.47358 0.556871 0.268001
24 7.67736 10.3474 0.447806 0.309331
25 7.06295 9.13219 0.461185 0.276266
26 11.8353 25.1904 0.327436 0.653359
27 11.7728 18.6438 0.398588 0.533304
28 10.571 21.751 0.33621 0.568261
29 4.50662 8.59285 0.368817 0.220746
30 14.7651 16.7689 0.481675 0.552758
31 7.15748 12.2547 0.386225 0.334685
32 9.42887 7.85264 0.57489 0.295336
33 13.1539 18.6662 0.425146 0.558412
34 8.97787 4.98674 0.686158 0.235203
35 5.39016 12.4955 0.316969 0.307448
36 4.71346 11.0225 0.317285 0.268584
37 13.83 24.3646 0.370635 0.674028
38 6.01047 9.62794 0.407267 0.266448
39 7.01061 12.5943 0.374407 0.338227
40 6.75269 10.4559 0.41356 0.294764
41 8.36284 13.5711 0.397218 0.380157
42 5.25202 8.45475 0.409469 0.231569
43 5.695 14.5166 0.2946 0.349619
44 8.82652 7.10963 0.586254 0.271065
45 6.24005 15.9951 0.292208 0.386229
46 11.299 16.7465 0.415938 0.490361
47 5.3013 10.3962 0.357781 0.267721
48 6.94476 9.86521 0.435965 0.287469
49 5.4742 8.71761 0.411239 0.240318
50 10.0221 19.4804 0.350151 0.517191
51 8.14925 5.18175 0.654524 0.223926
52 4.66168 11.4011 0.307045 0.274536
53 4.27741 8.90972 0.347565 0.222402
54 6.35958 6.93293 0.512367 0.223732
55 6.22912 15.9104 0.293009 0.384494
56 7.21463 9.50215 0.455572 0.2857
57 3.7589 9.47549 0.304265 0.223405
58 5.93669 13.5209 0.319567 0.335853
59 7.89946 15.9541 0.343855 0.415163
60 7.87623 7.32457 0.549999 0.257973
61 6.98255 11.4176 0.398551 0.316348
62 14.3213 32.4598 0.312007 0.829891
63 6.54531 12.8257 0.35398 0.334108
64 10.189 23.5803 0.309801 0.594663
65 13.8523 12.7121 0.539335 0.462732
66 5.47385 11.1991 0.346607 0.285394
67 5.25342 12.8745 0.304589 0.311888
68 7.84563 14.3166 0.368653 0.384451
69 4.30469 10.6614 0.305606 0.254712
70 6.17855 9.08231 0.429647 0.259542
71 18.8721 25.125 0.437697 0.77802
72 5.02405 10.3495 0.346648 0.261914
73 17.9312 27.6917 0.400764 0.807824
74 6.8456 8.72601 0.465964 0.265
75 7.83044 5.53858 0.627004 0.224707
76 6.04971 13.4171 0.32549 0.335989
77 4.76941 9.74176 0.349899 0.246318
78 5.00221 12.5723 0.299639 0.301904
79 13.5964 29.9118 0.318955 0.770634
80 6.09118 12.0365 0.353167 0.311648
81 5.33259 7.81246 0.434792 0.221342
82 6.21341 8.49945 0.449189 0.249577
83 12.6178 27.4455 0.322022 0.708323
84 8.25126 11.887 0.428462 0.347566
85 6.77144 16.6117 0.300916 0.406935
86 5.28368 10.2329 0.361 0.264439
87 6.26417 12.5755 0.348797 0.324535
88 4.87744 11.6817 0.311086 0.283493
89 4.20581 9.4004 0.330493 0.230035
90 8.15075 20.7792 0.290583 0.50732
91 8.49254 21.5777 0.290941 0.52794
92 9.4119 22.9273 0.299181 0.568901
93 6.22684 13.0729 0.338059 0.332903
94 7.76531 19.8388 0.290577 0.48334
95 6.00083 10.2381 0.390714 0.277322
96 8.67709 8.2571 0.540499 0.289238
97 3.91993 9.70112 0.30767 0.230385
98 3.54617 9.43821 0.292974 0.218923
99 6.50396 11.0573 0.389904 0.301242
100 15.9245 15.2739 0.525249 0.546336
101 5.41205 14.0615 0.291077 0.33629
102 5.33898 8.71539 0.405266 0.23786
103 4.05964 10.7983 0.290438 0.252817
104 10.2313 18.9088 0.362045 0.510547
105 5.74085 9.18916 0.408611 0.253654
106 5.09502 7.85654 0.42208 0.217894
107 13.0603 22.3092 0.378678 0.622921
108 5.39056 7.9736 0.431804 0.225306
109 6.29537 10.7858 0.388583 0.292579
110 12.1487 26.9638 0.317761 0.691184
111 4.34928 11.0155 0.300273 0.261943
112 11.4036 27.7581 0.297889 0.69229
113 14.6685 22.729 0.401688 0.659311
114 7.83683 9.67624 0.47117 0.299991
115 4.32097 10.7533 0.304424 0.256673
116 8.71485 11.7197 0.445676 0.352819
117 8.73096 14.7446 0.386408 0.408061
118 4.43824 9.28569 0.345561 0.232109
119 4.07395 9.7539 0.314652 0.234059
120 8.13181 13.1128 0.399317 0.3677
121 5.42848 11.378 0.340855 0.287831
122 10.9148 22.5411 0.33506 0.588763
123 15.3962 30.968 0.338499 0.822012
124 4.55292 10.5312 0.320544 0.256787
125 13.5623 29.4247 0.322094 0.761173
126 4.11134 9.89172 0.3133 0.237271
127 8.32498 10.6115 0.46106 0.325714
128 6.61267 16.2865 0.300319 0.398187
129 8.49706 17.2743 0.341371 0.449836
130 5.23217 7.96014 0.424966 0.222229
131 4.00207 9.62565 0.313952 0.230483
132 6.7027 9.31344 0.442838 0.273116
133 6.07809 8.45664 0.445139 0.246379
134 7.7571 7.84618 0.526872 0.265318
135 8.09043 19.2746 0.305475 0.478905
136 4.77609 8.10001 0.398149 0.216612
137 5.53894 14.1046 0.295203 0.339342
138 6.92589 16.0226 0.313841 0.398996
139 9.09378 16.3754 0.369834 0.444178
140 19.9503 27.0602 0.432478 0.832462
141 9.39098 15.9894 0.383306 0.442479
142 8.94991 21.9554 0.298082 0.542982
143 6.46006 10.7056 0.39668 0.294067
144 7.6348 17.5124 0.314619 0.43874
145 6.4666 9.7567 0.42147 0.276945
146 13.4741 21.4965 0.395249 0.615558
147 8.04351 13.5513 0.388305 0.374086
148 10.6426 23.9901 0.315315 0.610221
149 9.56419 6.9961 0.609963 0.282196
150 15.7719 13.8214 0.549296 0.51722
151 7.09654 9.70218 0.445808 0.287222
152 8.01165 13.9621 0.379818 0.380979
153 5.23454 13.4965 0.29324 0.322851
154 16.7359 28.1477 0.380333 0.794731
155 5.36109 13.8426 0.292582 0.331402
156 11.301 29.0182 0.286545 0.713347
157 8.00539 16.8948 0.333283 0.434147
158 5.56014 12.279 0.327862 0.306555
159 4.08305 9.78275 0.314433 0.234786
160 7.61146 10.7506 0.435395 0.315479
161 5.12059 10.5521 0.346166 0.26732
162 8.28524 16.8355 0.341795 0.438076
163 4.06721 10.0634 0.306952 0.239601
164 4.66984 10.2871 0.331745 0.254444
165 6.79168 17.0985 0.295164 0.416141
166 6.0468 12.9067 0.334573 0.326664
167 11.4676 28.0182 0.297047 0.698158
168 5.28047 8.56824 0.407181 0.23414
169 6.38893 14.6069 0.317613 0.363671
170 4.14111 10.3881 0.303403 0.246822
171 6.84341 17.4913 0.291775 0.424203
172 4.84753 12.4517 0.295242 0.296946
173 5.58301 8.36908 0.427105 0.235933
174 9.3977 11.1886 0.476896 0.355383
175 6.70618 14.9653 0.32255 0.375856
176 7.07952 10.0029 0.43695 0.292381
177 7.75151 11.1005 0.431319 0.32434
178 3.95828 9.73899 0.308832 0.231759
179 9.67088 7.80852 0.582617 0.298863
180 7.86051 12.1059 0.411846 0.344554
181 4.49191 10.1126 0.3273 0.24809
182 4.26925 9.75685 0.324763 0.237646
183 8.53809 9.82394 0.488402 0.315217
184 8.36176 20.4454 0.299417 0.505029
185 8.61056 14.054 0.395265 0.393362
186 5.06469 11.3113 0.326845 0.280114
187 6.60178 6.64661 0.533777 0.222862
188 7.41567 16.09 0.32776 0.408979
189 4.41829 9.94924 0.327592 0.243807
190 3.92776 9.76665 0.30652 0.231715
191 14.4813 24.4672 0.380405 0.687541
192 9.23732 10.1871 0.498129 0.334319
193 4.55318 11.2932 0.304233 0.270636
194 4.78098 8.40501 0.38852 0.22224
195 3.76205 13.0969 0.235442 0.288655
196 8.8749 13.9983 0.403536 0.397076
197 11.4244 24.6037 0.325039 0.63535
198 12.4828 19.155 0.405847 0.555289
199 4.4514 11.641 0.292624 0.275133
200 3.88559 10.1506 0.295352 0.237936
201 7.08098 9.89599 0.439905 0.290464
202 3.92782 9.29303 0.318287 0.223112
203 5.36663 9.07172 0.395828 0.244827
204 4.01127 9.62547 0.314452 0.230644
205 7.85956 7.70335 0.535299 0.264556
206 4.62412 9.76859 0.342214 0.244207
207 5.67498 10.0168 0.383149 0.267512
208 18.5598 14.842 0.570693 0.585623
209 3.76576 9.87166 0.29519 0.230725
210 8.15734 16.6434 0.34102 0.432299
211 5.29607 13.1018 0.30233 0.316781
212 3.99334 9.86875 0.307612 0.234743
213 4.15145 9.09966 0.335586 0.2236
214 10.3781 16.4543 0.399895 0.46858
215 19.5832 25.0256 0.447836 0.788933
216 6.22302 12.115 0.356463 0.315433
217 5.94396 13.487 0.320419 0.335366
218 12.9098 23.9228 0.359082 0.649545
219 4.09431 10.1089 0.307314 0.240912
220 9.9837 23.2183 0.308886 0.584415
221 4.48429 8.84736 0.360146 0.22497
222 7.504 13.6074 0.370916 0.365455
223 7.19909 14.9758 0.338072 0.384863
224 7.88852 10.7708 0.4437 0.3208
225 4.98779 9.56184 0.364891 0.246955
226 4.82478 12.2112 0.298644 0.29217
227 5.41202 9.4883 0.386022 0.253207
228 3.9876 10.3908 0.295419 0.244125
229 5.59831 12.2207 0.330505 0.306179
230 11.663 20.4964 0.37287 0.564997
231 7.1196 8.40441 0.48619 0.264058
232 9.39437 12.8789 0.439135 0.386031
233 6.30936 7.16019 0.501172 0.226963
234 10.5396 22.3021 0.329761 0.57771
235 5.12435 10.4351 0.349092 0.265262
236 8.62816 11.6627 0.44451 0.350233
237 4.38361 9.8269 0.328849 0.240964
238 14.142 26.6868 0.354007 0.721798
239 5.04301 12.5932 0.30097 0.303014
240 7.59679 17.5216 0.313424 0.438228
241 14.0801 22.2299 0.39741 0.63972
242 3.90875 10.0894 0.297973 0.237239
243 8.53563 11.8205 0.438269 0.351445
244 6.53314 12.5859 0.358203 0.329533
245 5.23311 7.85953 0.428512 0.220418
246 7.06446 17.8269 0.294218 0.434253
247 10.8204 13.6971 0.457771 0.426401
248 14.3814 15.053 0.503654 0.514724
249 4.59008 9.78488 0.340142 0.243893
250 9.5303 19.2557 0.341518 0.504274
251 4.28602 9.22166 0.339424 0.228223
252 9.72708 21.8916 0.316448 0.555116
253 12.1101 18.3245 0.409759 0.533535
254 5.03989 8.79535 0.389034 0.233963
255 8.58818 20.4167 0.305362 0.508557
256 7.27055 8.6228 0.484284 0.270725
257 4.26285 9.07186 0.342278 0.225087
258 15.5854 30.7611 0.342791 0.821636
259 4.88643 8.69029 0.384868 0.229309
260 5.42512 8.90059 0.403494 0.242765
261 11.9131 21.538 0.365761 0.588394
262 9.70809 9.33524 0.534499 0.327264
263 11.776 12.7009 0.499056 0.425395
264 16.4935 21.8566 0.440183 0.676101
265 10.3915 6.02345 0.668926 0.279321
266 4.93169 10.3693 0.341987 0.260622
267 17.2733 25.7335 0.410035 0.760482
268 6.02866 8.20311 0.451537 0.240889
269 6.04973 8.66468 0.437307 0.249651
270 5.74747 12.9351 0.322852 0.321825
271 4.11431 9.51864 0.322625 0.230547
272 5.2051 11.1993 0.335293 0.28059
273 7.55836 10.5819 0.437915 0.311463
274 8.72003 15.4442 0.374509 0.420576
275 5.0581 11.1323 0.330378 0.276744
276 4.67336 10.7186 0.322042 0.262347
277 3.90962 9.79105 0.304955 0.231834
278 6.56551 6.65722 0.531948 0.222407
279 8.30313 19.4078 0.309465 0.485129
280 9.91463 16.5581 0.387405 0.462178
281 8.32461 18.3413 0.32284 0.466137
282 11.8466 9.6886 0.573552 0.371933
283 7.20515 10.4756 0.428867 0.303215
284 6.62836 13.386 0.346417 0.345773
285 3.98823 9.1178 0.326218 0.221009
286 6.78711 11.6784 0.385957 0.317589
287 15.2792 11.9918 0.578962 0.47517
288 4.40747 8.86981 0.355529 0.224004
289 4.71099 9.62552 0.350099 0.243161
290 6.17301 13.3746 0.330686 0.337422
291 5.30469 12.241 0.318306 0.301297
292 4.86129 9.2857 0.366429 0.239676
293 7.06875 12.407 0.380135 0.335863
294 7.08153 8.31482 0.487843 0.26175
295 5.84882 13.8781 0.310339 0.34077
296 12.7725 23.3935 0.361973 0.637473
297 10.3144 24.0708 0.307848 0.605817
298 9.24052 15.5873 0.385866 0.432484
299 10.5254 14.3694 0.438294 0.433337
300 6.13874 10.9846 0.377932 0.293388
301 8.20701 11.5528 0.434707 0.340703
302 4.88671 8.97995 0.376297 0.234576
303 4.27262 8.98524 0.345192 0.223688
304 4.8797 8.23866 0.398733 0.220984
305 6.37817 15.6236 0.301977 0.381949
306 4.75883 9.0959 0.366787 0.234395
307 11.0548 18.7899 0.381669 0.523115
308 3.99772 10.6032 0.291367 0.248164
309 4.80258 8.94956 0.373109 0.232519
310 4.04297 9.07711 0.330315 0.221249
311 5.74452 10.859 0.365354 0.284056
312 4.54969 11.6533 0.296927 0.277114
313 6.37318 15.8289 0.298905 0.38559
314 10.8538 9.6354 0.553516 0.353209
315 4.78055 10.0555 0.342553 0.252216
316 5.32105 7.54622 0.443905 0.216299
317 9.66222 10.8611 0.491893 0.354164
318 12.4102 20.4072 0.388583 0.576741
319 9.24939 21.0476 0.314427 0.531844
320 13.5951 28.1778 0.332459 0.739107
321 6.37647 10.9098 0.388668 0.296282
322 5.93125 11.6365 0.355432 0.301522
323 11.2218 20.5352 0.363439 0.55781
324 7.4535 8.21695 0.503952 0.266624
325 6.38165 16.275 0.293055 0.393846
326 18.318 18.1351 0.514945 0.641124
327 9.88551 10.3387 0.51104 0.348668
328 5.51381 14.3181 0.290942 0.342773
329 5.21539 12.6141 0.307708 0.306477
330 10.7293 11.7673 0.496353 0.389714
331 16.8035 21.5366 0.448575 0.675832
332 20.3149 16.4931 0.565439 0.64701
333 9.86548 25.2584 0.288098 0.619366
334 7.94063 7.49783 0.545444 0.262273
335 5.172 12.1044 0.315442 0.296441
336 6.93008 11.0666 0.404881 0.309032
337 5.35807 11.6416 0.332401 0.291361
338 13.8106 28.3619 0.334461 0.746304
339 5.87792 7.86258 0.457065 0.232006
340 10.317 13.3266 0.45323 0.410667
341 5.06745 10.3595 0.34836 0.262871
342 5.55043 9.32958 0.396469 0.252799
343 4.68482 10.5445 0.326492 0.259388
344 3.58169 9.5964 0.291248 0.222432
345 4.83027 12.3403 0.296513 0.294615
346 14.2332 10.1402 0.605847 0.422823
347 4.18039 9.21498 0.33403 0.226212
348 6.66648 12.8875 0.356999 0.337399
349 3.81672 9.83348 0.298885 0.230943
350 9.50126 22.2364 0.30791 0.557947
351 11.9637 18.6578 0.402261 0.536972
352 13.9501 18.1871 0.446306 0.563949
353 8.2116 13.9221 0.386366 0.38383
354 5.87165 11.778 0.350142 0.303026
355 8.76163 8.72577 0.527585 0.299265
356 13.9256 13.1603 0.531399 0.472187
357 5.61136 12.8609 0.318974 0.318043
358 10.5421 20.0298 0.355055 0.536473
359 5.72788 14.0581 0.302972 0.341878
360 7.74091 15.4237 0.347372 0.40269
361 4.1225 9.55261 0.322202 0.23131
362 4.67984 10.5713 0.32565 0.259786
363 15.0227 11.8121 0.57881 0.467316
364 7.66347 17.0521 0.321519 0.430891
365 4.26159 10.1439 0.315086 0.244541
366 9.74866 21.1409 0.324855 0.542469
367 6.77981 14.6634 0.329711 0.371688
368 10.8187 17.4009 0.395719 0.493658
369 5.25876 13.4193 0.295473 0.321882
370 8.72722 19.2024 0.322642 0.488981
371 6.04923 14.8076 0.302818 0.361242
372 3.95306 9.99428 0.302522 0.236303
373 5.38251 12.4305 0.317878 0.30613
374 5.72956 8.95757 0.414982 0.249245
375 9.01202 8.73291 0.534376 0.303872
376 6.19872 9.80302 0.409931 0.272996
377 6.94568 11.9926 0.384633 0.326134
378 4.70772 10.781 0.322262 0.264094
379 9.40843 6.29164 0.634859 0.266611
380 15.7796 31.1825 0.342425 0.832765
381 6.88363 14.6944 0.33258 0.374109
382 8.6721 4.98565 0.678706 0.229714
383 13.7242 20.4078 0.412737 0.600252
384 6.00392 9.57109 0.408578 0.265298
385 11.3059 18.0964 0.396392 0.515007
386 10.9383 18.1411 0.387895 0.509245
387 9.80871 21.4949 0.322408 0.549975
388 9.87774 23.4532 0.304393 0.586788
389 4.222 10.0022 0.3164 0.241259
390 6.05189 13.5464 0.32332 0.338376
391 4.61675 10.7899 0.31782 0.262629
392 8.64622 20.9042 0.301577 0.518452
393 4.5993 8.68165 0.370893 0.224017
394 8.45025 16.4879 0.351247 0.434712
395 4.14125 8.85328 0.341852 0.218941
396 4.5866 9.07616 0.358821 0.230956
397 11.6599 15.261 0.447758 0.469827
398 8.02608 18.1733 0.316998 0.457745
399 5.13486 13.0991 0.295896 0.313848
400 5.33313 9.52732 0.38148 0.252505
401 6.05842 8.36674 0.447287 0.244394
402 12.4838 12.9756 0.507905 0.443044
403 5.39731 12.1724 0.323398 0.301707
404 8.43667 14.0144 0.391118 0.389531
405 15.0412 24.019 0.393956 0.689413
406 10.4332 19.2704 0.361973 0.520729
407 4.54801 8.92382 0.361197 0.227498
408 5.90237 14.2236 0.306686 0.348005
409 6.06048 9.46624 0.413787 0.264405
410 5.69467 7.52095 0.461657 0.222522
411 9.16956 10.3669 0.491504 0.336375
412 6.45954 14.2675 0.325471 0.358769
413 9.57158 18.9094 0.346789 0.498759
414 11.6328 19.2496 0.387734 0.541806
415 8.50364 16.9343 0.346274 0.443776
416 8.47911 19.8538 0.308864 0.49638
417 7.05265 14.9027 0.334645 0.380916
418 4.85433 12.4679 0.295242 0.297363
419 3.5554 9.35018 0.295662 0.217489
420 3.93293 9.82381 0.305437 0.232846
421 6.49647 8.43587 0.462317 0.253484
422 3.71733 9.2854 0.30665 0.219208
423 7.30291 8.29646 0.496155 0.265375
