

















Broadening results as a function of Q^2:


































Broadening results as a function of x:





























Broadening results as a function of z:

































Average kinematics for broadening results as a function of nu:
(upper left enrty of each table tells you for which broadening result)


D<pt^2>_He^pi+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
8	7.9	2.1	0.14	0.50
11.9	11.8	2.5	0.11	0.44
14.7	14.7	2.6	0.09	0.41
18.5	18.3	2.4	0.07	0.38

D<pt^2>_Ne^pi+
8	7.9	2.1	0.14	0.50
11.9	11.8	2.5	0.11	0.44
14.7	14.7	2.6	0.09	0.41
18.5	18.3	2.4	0.07	0.38

D<pt^2>_Kr^pi+
8	7.9	2.1	0.14	0.49
11.9	11.8	2.5	0.11	0.43
14.7	14.7	2.6	0.10	0.41
18.5	18.4	2.4	0.07	0.37

D<pt^2>_Xe^pi+
8	7.9	2.1	0.14	0.49
11.9	11.8	2.5	0.11	0.43
14.7	14.7	2.6	0.10	0.41
18.5	18.4	2.4	0.07	0.37







D<pt^2>_He^pi-	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
8	8.0	2.1	0.14	0.50
11.9	11.9	2.4	0.11	0.43
14.7	14.7	2.5	0.09	0.40
18.5	18.5	2.3	0.07	0.36

D<pt^2>_Ne^pi-
8	8.0	2.1	0.14	0.49
11.9	11.9	2.4	0.11	0.43
14.7	14.7	2.5	0.09	0.40
18.5	18.5	2.4	0.07	0.36

D<pt^2>_Kr^pi-
8	8.0	2.1	0.14	0.48
11.9	11.9	2.4	0.11	0.42
14.7	14.7	2.5	0.09	0.40
18.5	18.5	2.4	0.07	0.36

D<pt^2>_Xe^pi-
8	8.0	2.1	0.14	0.48
11.9	11.9	2.4	0.11	0.42
14.7	14.7	2.5	0.09	0.40
18.5	18.5	2.4	0.07	0.36







D<pt^2>_He^K+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
8	7.9	2.1	0.14	0.50
11.9	11.7	2.5	0.11	0.45
14.7	14.6	2.7	0.10	0.45
18.5	18.2	2.5	0.08	0.42

D<pt^2>_Ne^K+
8	7.9	2.1	0.14	0.49
11.9	11.7	2.5	0.11	0.44
14.7	14.6	2.7	0.10	0.44
18.5	18.2	2.5	0.08	0.41

D<pt^2>_Kr^K+
8	7.9	2.1	0.14	0.49
11.9	11.7	2.5	0.11	0.43
14.7	14.6	2.7	0.10	0.43
18.5	18.2	2.5	0.08	0.41

D<pt^2>_Xe^K+
8	8.0	2.1	0.14	0.49
11.9	11.8	2.5	0.11	0.44
14.7	14.6	2.7	0.10	0.43
18.5	18.2	2.5	0.08	0.41




Average kinematics for broadening results as a function of Q^2:
(upper left enrty of each table tells you for which broadening result)



D<pt^2>_He^pi+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
1.4	13.3	1.4	0.06	0.44
2.5	13.6	2.5	0.11	0.42
3.9	14.1	3.9	0.16	0.41
6.5	14.3	6.5	0.25	0.41

D<pt^2>_Ne^pi+
1.4	13.4	1.4	0.06	0.43
2.5	13.7	2.5	0.11	0.42
3.9	14.2	3.9	0.16	0.41
6.5	14.3	6.5	0.25	0.40

D<pt^2>_Kr^pi+
1.4	13.7	1.4	0.06	0.42
2.5	13.9	2.5	0.10	0.41
3.9	14.4	3.9	0.15	0.40
6.5	14.5	6.5	0.25	0.39

D<pt^2>_Xe^pi+
1.4	13.8	1.4	0.06	0.42
2.5	14.0	2.5	0.10	0.41
3.9	14.4	3.9	0.15	0.40
6.5	14.5	6.5	0.25	0.39







D<pt^2>_He^pi-	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
1.4	13.6	1.4	0.06	0.43
2.5	13.8	2.5	0.11	0.41
3.9	14.3	3.8	0.15	0.40
6.5	14.3	6.5	0.25	0.39

D<pt^2>_Ne^pi-
1.4	13.7	1.4	0.06	0.43
2.5	13.9	2.5	0.10	0.41
3.9	14.4	3.9	0.15	0.39
6.5	14.4	6.5	0.25	0.38

D<pt^2>_Kr^pi-
1.4	13.8	1.4	0.06	0.42
2.5	14.1	2.5	0.10	0.40
3.9	14.5	3.9	0.15	0.39
6.5	14.5	6.5	0.25	0.38

D<pt^2>_Xe^pi-
1.4	13.9	1.4	0.06	0.42
2.5	14.1	2.5	0.10	0.40
3.9	14.6	3.9	0.15	0.39
6.5	14.6	6.5	0.25	0.38







D<pt^2>_He^K+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
1.4	13.1	1.4	0.07	0.44
2.5	13.5	2.5	0.11	0.45
3.9	14.0	3.9	0.16	0.44
6.5	14.3	6.5	0.25	0.44

D<pt^2>_Ne^K+
1.4	13.2	1.4	0.07	0.44
2.5	13.5	2.5	0.11	0.44
3.9	14.1	3.9	0.16	0.44
6.5	14.3	6.5	0.25	0.44

D<pt^2>_Kr^K+
1.4	13.4	1.4	0.06	0.43
2.5	13.7	2.5	0.11	0.43
3.9	14.2	3.9	0.16	0.43
6.5	14.4	6.5	0.25	0.43

D<pt^2>_Xe^K+
1.4	13.6	1.4	0.06	0.43
2.5	13.9	2.5	0.10	0.43
3.9	14.4	3.9	0.15	0.43
6.5	14.5	6.5	0.25	0.43




Average kinematics for broadening results as a function of x:
(upper left enrty of each table tells you for which broadening result)



D<pt^2>_He^pi+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.059	14.9	1.6	0.06	0.41
0.131	12.0	2.9	0.13	0.45
0.254	11.2	5.4	0.25	0.44
0.422	10.1	8.1	0.42	0.41

D<pt^2>_Ne^pi+
0.059	15.0	1.6	0.06	0.41
0.131	12.1	2.9	0.13	0.44
0.254	11.3	5.4	0.25	0.43
0.422	10.1	8.0	0.42	0.40

D<pt^2>_Kr^pi+
0.059	15.1	1.6	0.06	0.41
0.131	12.3	3.0	0.13	0.43
0.254	11.4	5.5	0.25	0.42
0.422	10.0	8.0	0.42	0.40

D<pt^2>_Xe^pi+
0.059	15.2	1.6	0.06	0.40
0.131	12.4	3.0	0.13	0.43
0.254	11.5	5.5	0.25	0.42
0.422	10.1	8.1	0.42	0.40







D<pt^2>_He^pi-	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.059	15.1	1.6	0.06	0.41
0.131	12.1	2.9	0.13	0.44
0.254	11.3	5.4	0.25	0.42
0.422	10.0	7.9	0.42	0.38

D<pt^2>_Ne^pi-
0.059	15.2	1.6	0.06	0.41
0.131	12.2	2.9	0.13	0.43
0.254	11.4	5.4	0.25	0.42
0.422	10.0	8.0	0.42	0.39

D<pt^2>_Kr^pi-
0.059	15.3	1.6	0.06	0.40
0.131	12.4	3.0	0.13	0.42
0.254	11.4	5.4	0.25	0.41
0.422	10.1	8.0	0.42	0.39

D<pt^2>_Xe^pi-
0.059	15.3	1.6	0.06	0.40
0.131	12.5	3.0	0.13	0.42
0.254	11.4	5.4	0.25	0.41
0.422	10.0	8.0	0.42	0.38







D<pt^2>_He^K+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.059	14.6	1.6	0.06	0.42
0.131	12.0	2.9	0.13	0.45
0.254	11.2	5.5	0.26	0.44
0.422	10.0	8.1	0.42	0.43

